Rank,Impact_Level,Video_ID,Current_Title,Optimized_Title,Current_Views,Current_Retention,Implementation_Date,Post_Views,Post_Retention,Improvement_Percent,Notes
1,HIGH,4w3hQpbvOAo,Zombie Elevator #zombiearmyvr #gaming #vr #zombies #pcvr #shorts  #virtualreality #gameplay,Zombie ELEVATOR Survival! � Epic VR Horror #vr #zombies #pcvr #gaming #horror,952,26.62,,,,,
2,HIGH,lDkySz_KIgY,Toughest neighborhood in Pechorsk Outskirts #gaming  #intotheradius2 #pcvr #virtualreality #shorts,DANGEROUS VR Territory! 💀 Into the Radius 2 Pechorsk Outskirts #intotheradius2 #vr #pcvr #gaming,470,31.980000000000004,,,,,
3,MEDIUM,KUrSLN-szIA,Into the Radius 2 Early Access .13.7 Realistic (bit harder) | No commentary | annotated tips,HARDEST VR Difficulty! � Into the Radius 2 v13.7 Realistic Mode #intotheradius2 #vr #pcvr #gaming,121,9.17,,,,,
4,MEDIUM,Mvw8NEYHwPs,Into the Radius 2 Early Access - Standalone Meta Quest 3,Quest 3 STANDALONE Power! 🥽 Into the Radius 2 Review #intotheradius2 #vr #quest3 #gaming,85,4.95,,,,,
5,MEDIUM,FyAPzSVi2AE,ConVRgence Episode 1,This VR Game is ADDICTIVE! 🎮 ConVRgence Episode 1 #vr #pcvr #gaming #convrgence,66,18.38,,,,,
6,MEDIUM,xc5kIFO2N_o,Into the Radius 2 EA .13.7 - Realistic,VR REALISM at its FINEST! 🎯 Into the Radius 2 v13.7 Realistic #intotheradius2 #vr #pcvr #gaming,53,26.08,,,,,
7,RECOVERY,P3-wHz7OI4k,Zombie Army VR - Part 5,Zombie VICTORY Finale! 🏆 Zombie Army VR Part 5 #vr #zombies #pcvr #gaming #win,42,3.19,,,,,
8,RECOVERY,sDwSXBdctF0,Into the Radius 2 EA .13.7 Just some fun,VR Casual Gaming! 😎 Into the Radius 2 v13.7 Chill Gameplay #intotheradius2 #vr #pcvr #gaming,30,23.98,,,,,
9,RECOVERY,zqtUJ3rmJf0,ConVRgence Episode 3 - First Demon Boss Encounter!,EPIC VR Boss Fight! 🔥 ConVRgence Episode 3 #vr #pcvr #gaming #boss #convrgence,30,41.52,,,,,
10,RECOVERY,RwxnlHMgZ1s,ConVRgence Episode 6 - Difficulty ramps up,Underrated VR Game! 💎 ConVRgence Episode 6 #vr #pcvr #gaming #underrated,29,26.530000000000005,,,,,
11,RECOVERY,n1XC9wd1Qzs,Check out the beta update!   Super nice additions and improvements!ConVRgence Episode 7 BIG UPDATE,VR Game UPDATE is AMAZING! 🚀 ConVRgence Episode 7 #vr #pcvr #gaming #update,29,14.59,,,,,
12,RECOVERY,BwU6QdViBMg,ConVRgence Episode 4 - I got him a beer!,VR Gameplay Gets CRAZY! 🤯 ConVRgence Episode 4 #vr #pcvr #gaming #convrgence,26,41.03,,,,,
13,RECOVERY,Wb3GcMZDBP8,ConVRgence Episode 5  - Difficulty ramps up,This VR Game SURPRISED Me! 🎯 ConVRgence Episode 5 #vr #pcvr #gaming #convrgence,25,40.48,,,,,
14,RECOVERY,kpxRbVpOZhg,ConVRgence Episode 2,VR Game You've NEVER Heard Of! 😲 ConVRgence Episode 2 #vr #pcvr #gaming #hiddengem,25,43.39,,,,,
15,RECOVERY,5epq4kOQGHs,Into the Radius 2 EA - .13 .1 - Pechorsk Climbing,INSANE VR Climbing! 🧗 Into the Radius 2 Pechorsk Challenge #intotheradius2 #vr #pcvr #gaming,23,13.01,,,,,
16,RECOVERY,4LC3u7C_0ds,Into the Radius 2 - Early Access - .13 Beta 2 - Part 4 - Security Level 4,MAXIMUM Security VR! 🚨 Into the Radius 2 Level 4 Mission #intotheradius2 #vr #pcvr #gaming,22,7.780000000000001,,,,,
17,RECOVERY,ap64SQOI8p0,Into the Radius 2 EA - .13 Ghost Town Update - Complete Play Through - Part 4,HAUNTED VR Exploration! 👻 Into the Radius 2 Ghost Town #intotheradius2 #vr #pcvr #gaming,22,7.17,,,,,
18,RECOVERY,b_ll7uSuOLY,Zombie Army VR - Part 2,Zombie HORDE Intensifies! � Zombie Army VR Part 2 #vr #zombies #pcvr #gaming #action,22,19.57,,,,,
19,RECOVERY,FKYjgnqbnT8,Into the Radius 2 EA - .13 Ghost Town Update - Complete Playthrough Nightmarish difficulty - Part 1,HAUNTED VR Exploration! 👻 Into the Radius 2 Ghost Town #intotheradius2 #vr #pcvr #gaming,21,6.01,,,,,
20,RECOVERY,KkHL38gsc7E,Unloop Gameplay Review,This UNKNOWN VR Game is AMAZING! 🤩 Unloop Hidden Gem Review #vr #pcvr #gaming #hiddengem #amazing,20,20.74,,,,,
21,RECOVERY,43Cxfom6V34,Zombie Army VR - Part 3,VR Zombie CHAOS Mode! 🔥 Zombie Army VR Part 3 #vr #zombies #pcvr #gaming #intense,19,18.9,,,,,
22,RECOVERY,FSJ4NLIeurs,Into the Radius 2 EA - Enemy Count Very High - Perchorsk Outskirts - No Commentary,VR Enemy SWARM Mode! 🔥 Into the Radius 2 High Intensity #intotheradius2 #vr #pcvr #gaming,19,11.15,,,,,
23,RECOVERY,siDLs-a2-hw,Zombie Army VR - Part 4,FINAL Zombie Battle! ⚔️ Zombie Army VR Part 4 #vr #zombies #pcvr #gaming #epic,19,21.22,,,,,
24,RECOVERY,n3r0IPCUQcs,Into The Radius 2 - v.12 - Post SL3 - Episode 1,POST-Mission VR! 🎯 Into the Radius 2 v12.None After Security Level 3 #intotheradius2 #vr #pcvr #gaming,14,15.82,,,,,
25,RECOVERY,yn7oy6HW0BM,Into the Radius 2 EA - .13 Ghost Town Update - Complete Play Through - Part 3,HAUNTED VR Exploration! 👻 Into the Radius 2 Ghost Town #intotheradius2 #vr #pcvr #gaming,14,10.37,,,,,
26,RECOVERY,-uZjbr4GMAw,Zombie Army VR - Part 1,VR Zombie APOCALYPSE Begins! 🧟 Zombie Army VR Part 1 #vr #zombies #pcvr #gaming #horror,11,12.68,,,,,
27,RECOVERY,AoC3OAKmdIU,Gorn 2 - First Boss,EPIC VR Gladiator Fight! ⚔️ Gorn 2 First Boss Battle #vr #gaming #pcvr #boss #victory,10,4.22,,,,,
28,RECOVERY,3nfoq1KfXys,Escaping Wonderland Episode 4 -Mirror Mire - Twilight Acres,VR Wonderland Adventure! 🐰 Escaping Wonderland Episode 4 Puzzle Game #vr #pcvr #gaming #puzzle #adventure,9,6.44,,,,,
29,RECOVERY,J0vV49urgOA,Into the Radius 2 EA Deathless Ironman - Episode 1,POV: You're TRAPPED in VR! 😰 Into the Radius 2 Episode 1 #intotheradius2 #vr #pcvr #gaming #pov,9,0.4099999999999999,,,,,
30,RECOVERY,uf_RIFv3yeY,Into the Radius 2 EA  - .13.1 Update  - Default Nightmare Difficulty - Deathless - Part 3,VR NIGHTMARE Mode! 😱 Into the Radius 2 v13.1 Impossible Difficulty #intotheradius2 #vr #pcvr #gaming,9,6.54,,,,,
31,RECOVERY,78IsElx5r1U,My First Time Playing Half Life Alyx Part 1,HIDDEN VR Gem Discovery! 💎 Part 1 Amazing Gameplay #vr #pcvr #gaming #hiddengem #amazing,8,18.91,,,,,
32,RECOVERY,Q562n_R0khE,Into The Radius 2 - 1,POV: You're TRAPPED in VR! 😰 Into the Radius 2 #intotheradius2 #vr #pcvr #gaming #pov,8,3.4799999999999995,,,,,
33,RECOVERY,QtX7MoXh5wM,My First Time Playing Half Life Alyx Part 4,HIDDEN VR Gem Discovery! 💎 Part 4 Amazing Gameplay #vr #pcvr #gaming #hiddengem #amazing,8,13.51,,,,,
34,RECOVERY,Vptow4hkJJ0,Into the Radius Deathless Realistic - Episode 1,VR REALISM at its FINEST! 🎯 Into the Radius 2 Realistic #intotheradius2 #vr #pcvr #gaming,8,10.82,,,,,
35,RECOVERY,riPwNfRQ0_Q,Into the Radius 2 EA - .13 Ghost Town Update - Complete Playthrough - Part 2,HAUNTED VR Exploration! 👻 Into the Radius 2 Ghost Town #intotheradius2 #vr #pcvr #gaming,8,9.98,,,,,
36,RECOVERY,px5a8v1VsdM,Into the Radius 2 EA - .13 Ghost Town Update - Complete Play Through - Part 5,HAUNTED VR Exploration! 👻 Into the Radius 2 Ghost Town #intotheradius2 #vr #pcvr #gaming,7,7.180000000000001,,,,,
37,RECOVERY,-J977JnpBf4,Into The Radius OG Part 1 -  Realistic Ironman,VR REALISM at its FINEST! 🎯 Into the Radius 2 Realistic #intotheradius2 #vr #pcvr #gaming,6,19.85,,,,,
38,RECOVERY,8SFf_8T5G6E,My First Time Playing Half Life Alyx Part 3,HIDDEN VR Gem Discovery! 💎 Part 3 Amazing Gameplay #vr #pcvr #gaming #hiddengem #amazing,6,13.82,,,,,
39,RECOVERY,FPsArC4f16c,Into the Radius 2 EA  - .13.1 Update  - Default Nightmare Difficulty - Deathless - Part 2,VR NIGHTMARE Mode! 😱 Into the Radius 2 v13.1 Impossible Difficulty #intotheradius2 #vr #pcvr #gaming,6,2.15,,,,,
40,RECOVERY,ZKpXD87weqU,My First Time Playing Half Life Alyx Part 2,HIDDEN VR Gem Discovery! 💎 Part 2 Amazing Gameplay #vr #pcvr #gaming #hiddengem #amazing,6,15.079999999999998,,,,,
41,RECOVERY,bF-R3g2YCvI,Into the Radius 2 EA - 13 Ghost Town Update - Complete Playthrough - Part 6,HAUNTED VR Exploration! 👻 Into the Radius 2 Ghost Town #intotheradius2 #vr #pcvr #gaming,6,1.14,,,,,
42,RECOVERY,R6zrZImseuM,World War Z Gameplay Review,HIDDEN VR Gem Discovery! 💎 Amazing Gameplay #vr #pcvr #gaming #hiddengem #amazing,5,37.17,,,,,
43,RECOVERY,KZc24oS62N0,Gorn 2 - Final Boss,EPIC VR Gladiator Fight! ⚔️ Gorn 2 First Boss Battle #vr #gaming #pcvr #boss #victory,4,0.49,,,,,
44,RECOVERY,sr3qSwk9-y0,Gorn 2 - Fourth Boss,EPIC VR Gladiator Fight! ⚔️ Gorn 2 First Boss Battle #vr #gaming #pcvr #boss #victory,4,2.91,,,,,
